artist,N_songs,N_songs_wL,N_words,N_words_per_s,Avg_in_dict,Avg_in_NAWL,Avg_vulg,Avg_max_N_Anger,Avg_max_N_Fear,Avg_max_N_Happiness,Avg_max_N_Sadness,Avg_max_N_Disgust,Avg_max_N_Neutral,Avg_min_N_Anger,Avg_min_N_Fear,Avg_min_N_Happiness,Avg_min_N_Sadness,Avg_min_N_Disgust,Avg_min_N_Neutral,Avg_max_sum_Anger,Avg_max_sum_Fear,Avg_max_sum_Happiness,Avg_max_sum_Sadness,Avg_max_sum_Disgust,Avg_min_sum_Anger,Avg_min_sum_Fear,Avg_min_sum_Happiness,Avg_min_sum_Sadness,Avg_min_sum_Disgust
Kuba Knap,156,56,21540,1.57253239989835,0.939229340761374,0.188254410399257,0.00868152274837512,0.0212083847102343,0.0180024660912454,0.103329223181258,0.0093711467324291,0.00665844636251541,0.0352651048088779,0.0103575832305795,0.0172626387176326,0.0498150431565968,0.00838471023427867,0.00665844636251541,0.030826140567201,2.07745926448829,2.3104740605672,3.78590063373613,2.10144714096178,1.69547302150432,1.43704066024661,1.64093309874229,2.54967771284834,1.44191000806412,1.18227556325524
Kuban,42,20,7503,1.82951629374087,0.959882713581234,0.181793949087032,0.00426496068239371,0.0102639296187683,0.0168621700879765,0.101173020527859,0.0124633431085044,0.00146627565982405,0.031524926686217,0.00806451612903226,0.0131964809384164,0.0483870967741936,0.0117302052785924,0.00146627565982405,0.0293255131964809,2.02040096400293,2.24218142199413,3.85307638218475,2.05939827133431,1.65963032382698,1.38244050711144,1.55548296590909,2.54599083394428,1.38910664420821,1.12368045857771
Liroy,55,10,4661,1.77677310405425,0.893799613816778,0.158335121218623,0.0165200600729457,0.021680216802168,0.0149051490514905,0.0813008130081301,0.00677506775067751,0.00948509485094851,0.0284552845528455,0.016260162601626,0.0149051490514905,0.032520325203252,0.00677506775067751,0.00948509485094851,0.0257452574525745,2.07249225447154,2.33041772588076,3.79220714701897,2.06492773875339,1.72676499783198,1.48737057371274,1.69386536666667,2.59880887086721,1.45856013929539,1.22637219173442
Łona I Webber,88,74,26893,1.91413734883899,0.966310935931283,0.170639199791767,0.00316067378128137,0.0178688167356723,0.0265853127042929,0.0843320984964045,0.0146001307474395,0.00305077358901722,0.0414033558509479,0.00915232076705164,0.0250599259097843,0.0459795162344738,0.0119851819568533,0.00261494879058618,0.035519721072129,2.07760471871868,2.35047757535411,3.64026891884942,2.11931023966006,1.66631816631074,1.46150648226193,1.67934182791458,2.48252732231423,1.47498022545217,1.15991303732839
Malik Montana,167,46,14482,1.82626082868508,0.823850296920315,0.170970860378401,0.00939096809832896,0.00969305331179321,0.0153473344103393,0.116316639741519,0.0109046849757674,0.00201938610662359,0.0363489499192246,0.00403877221324717,0.0149434571890145,0.0674474959612278,0.0100969305331179,0.00201938610662359,0.0294830371567044,2.08424407128433,2.32167611563005,3.78100853077544,2.11755819450727,1.75353190896607,1.50723814478998,1.69638327722132,2.67615204483037,1.5196035842084,1.26787414886914
Małpa,76,38,13544,1.57249225277047,0.963304784406379,0.218620791494389,0.00516834022445363,0.0202634245187437,0.0371496116176967,0.0770010131712259,0.0151975683890578,0.00371496116176967,0.0408645727794664,0.0104694360013509,0.0347855454238433,0.0408645727794664,0.0151975683890578,0.00337723741979061,0.0320837554880108,2.09979876511314,2.41402141543398,3.54718970597771,2.15440998216819,1.70852130742992,1.57357638514016,1.84424896815265,2.62389098544411,1.6016218993921,1.27697556325566
Miły ATZ,33,19,7868,2.18727013230927,0.895271987798678,0.154804270462633,0.00673614641586172,0.0123152709359606,0.0172413793103448,0.126436781609195,0.0147783251231527,0.0090311986863711,0.028735632183908,0.0106732348111658,0.0164203612479475,0.0492610837438424,0.0147783251231527,0.0090311986863711,0.0254515599343186,2.0911101000821,2.36012231042693,3.74143608226601,2.15202105123153,1.73646077364532,1.437847058867,1.66028096264368,2.43103157142857,1.46139460558292,1.20960052889984
Miuosh,183,83,29958,1.59803852746175,0.965418252219774,0.208224848120702,0.00984711930035383,0.0206797050336646,0.0150689323501122,0.0811157422250721,0.0166720102596986,0.00993908303943572,0.0331837127284386,0.00913754408464251,0.0145880089772363,0.0354280218018596,0.0155498557229881,0.00993908303943572,0.0291760179544726,2.1027783960404,2.38753712055146,3.67864718884258,2.17657479991985,1.71931304305867,1.45897545511382,1.69522646027573,2.50569368671048,1.50007980556268,1.19809509260981
Molesta,17,10,4564,1.86523474616828,0.941717791411043,0.179666958808063,0.00679228746713409,0.0182926829268293,0.0207317073170732,0.0878048780487805,0.0170731707317073,0.00365853658536585,0.0365853658536585,0.0121951219512195,0.0182926829268293,0.0524390243902439,0.0170731707317073,0.00365853658536585,0.025609756097561,2.09957046634146,2.31574271670732,3.70776626036585,2.12052310134146,1.7176167747561,1.48727285134146,1.65420946414634,2.57920325670732,1.47246702609756,1.20047758158537
Molesta Ewenement,125,47,21842,1.82087923740824,0.963327534108598,0.214174526142295,0.0050361688490065,0.019880290722531,0.0222317229585293,0.0718255664814023,0.0113296280461736,0.00491663103890552,0.0335613510047029,0.0104745617785378,0.0205215904232578,0.0472424112868747,0.0106883283454468,0.00448909790508765,0.0262932877297991,2.14854286468576,2.4266849545746,3.64659152216759,2.19913708238564,1.75216611823429,1.54749248565626,1.79056650536554,2.62164294920906,1.57975667894399,1.2608105651133
